FREQUENCY,X,Y,FID_1,Name,SampleLogi,Town,Municipali,State,Country,Lat_N,Long_W,Alt,X_1,Y_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-99.75722200000,21.78861100000,226,Desmodus rotundus,WG070601-038,La Trinidad,Ray?n,San Lu?s Potos?,,21.788611,-99.757222,Alt 1050m,-99.75722200000,21.78861100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-98.93351000000,21.72023000000,227,Desmodus rotundus,WG070802-004,Talnajas,Talnajas,San Lu?s Potos?,,21.72023,-98.93351,Alt 41m,-98.93351000000,21.72023000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-98.96890000000,21.79507000000,230,Desmodus rotundus,WG070802-007,Cd. Valles,Cd. Valles,San Lu?s Potos?,,21.79507,-98.9689,Alt 69m,-98.96890000000,21.79507000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-99.05084000000,21.63153000000,238,Desmodus rotundus,WG070802-015,Ejido Matenzulen,Aquism?n,San Lu?s Potos?,,21.63153,-99.05084,Alt 172m,-99.05084000000,21.63153000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-93.11666700000,16.75277800000,249,Desmodus rotundus,WG071025-001,Tuxtla Guti?rrez,,Chiapas,,16.752778,-93.116667,,-93.11666700000,16.75277800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-99.22416700000,22.30388900000,261,Desmodus rotundus,WG080429-001,,El Naranjo,San Lu?s Potos?,,22.303889,-99.224167,Alt 260,-99.22416700000,22.30388900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-99.33000000000,22.52277800000,265,Desmodus rotundus,WG080429-005,,El Naranjo,San Lu?s Potos?,,22.522778,-99.33,Alt 260,-99.33000000000,22.52277800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-99.93888900000,21.70527800000,266,Desmodus rotundus,WG080429-006,,R?o Verde,San Lu?s Potos?,,21.705278,-99.938889,Alt 1260,-99.93888900000,21.70527800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-99.90500000000,22.66277800000,276,Desmodus rotundus,WG080429-016,,Ciudad de Ma?z,San Lu?s Potos?,,22.662778,-99.905,Alt 1020,-99.90500000000,22.66277800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-99.45000000000,22.49805600000,278,Desmodus rotundus,WG080429-018,,Naranjo,San Lu?s Potos?,,22.498056,-99.45,Alt 1050,-99.45000000000,22.49805600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
