X,Y,response,bio2,bio6,bio12,bio15,bio19
-92.93768755,17.5359101,1,114,170,3869,43,812
-88.57102065,20.67757693,1,134,157,1206,63,115
-99.77102124,23.96924377,1,155,45,640,70,55
-88.52102065,20.67757693,1,133,157,1220,63,113
-97.05435443,20.06091023,1,112,150,1346,46,211
-99.52935456,21.16091029,1,156,79,738,86,34
-95.56268768,16.43591004,1,130,168,634,112,5
-99.69602123,21.10257695,1,151,44,864,79,59
-99.82102124,24.09424378,1,154,52,538,69,48
-103.7626881,19.31924353,1,143,141,1014,112,45
-103.6126881,19.12757685,1,137,148,944,111,38
-98.05435448,18.2025768,1,172,107,681,95,22
-99.25435454,23.57757708,1,140,63,701,77,51
-99.6876879,17.55257677,1,106,104,1574,101,41
-92.55435419,16.66091005,1,128,43,1163,75,62
-99.88768791,18.47757682,1,130,123,1226,105,33
-99.93768791,21.70257698,1,154,81,719,87,41
-98.84602119,18.55257682,1,173,117,845,104,24
-95.17935433,18.44424348,1,92,159,2237,70,251
-92.92102088,17.57757677,1,114,175,3493,44,714
-104.0710215,20.53591026,1,164,80,873,105,45
-100.3210213,22.6192437,1,163,64,633,73,59
-99.47102122,23.25257706,1,144,56,690,76,49
-93.3710209,16.76924339,1,124,137,956,92,41
-105.8543549,23.42757707,1,116,106,1238,97,143
-92.13768751,18.1275768,1,100,187,1974,57,307
-98.93768786,21.71924365,1,120,131,1529,76,119
-99.93768791,20.49424359,1,171,47,526,84,33
-95.03768766,18.50257682,1,91,171,3135,65,461
-98.98768786,21.90257699,1,117,128,1313,78,90
-96.75435441,18.91091017,1,121,138,1660,78,116
-97.40435445,20.0775769,1,113,129,2102,51,297
-93.67935425,16.01091002,1,125,184,1748,100,34
-89.91268739,20.53591026,1,121,169,1096,74,83
-96.83768775,18.8692435,1,120,131,2075,79,141
-93.15435423,17.16924341,1,118,95,2049,49,318
-92.23768751,15.21090998,1,127,58,1667,84,29
-99.16268787,18.85257684,1,154,117,956,103,31
-94.91268765,18.01924346,1,97,169,1640,80,145
-92.48768752,15.47757666,1,132,68,1303,87,22
-95.07102099,18.57757682,1,89,175,3262,65,494
-93.70435425,16.2025767,1,127,125,1344,99,29
-103.6626881,20.41091025,1,159,76,793,108,35
-98.47102117,21.78591032,1,110,137,1031,74,106
-90.7293541,18.91924351,1,127,161,1376,80,94
-93.30435423,16.8442434,1,125,128,1083,85,61
-100.3793546,22.62757703,1,163,59,656,74,63
-98.9960212,18.61924349,1,171,119,840,105,20
-87.05435391,21.35257697,1,103,171,1030,48,180
-90.72102076,18.92757684,1,127,161,1372,80,93
-97.80435447,19.91924356,1,125,65,1703,72,139
-98.16268782,22.98591038,1,102,120,843,86,58
-89.02102068,18.2025768,1,105,166,1296,58,161
-93.57935425,16.76091006,1,120,143,824,92,49
-93.46268757,16.9442434,1,118,145,1050,74,96
-91.78768749,16.12757669,1,136,104,1804,69,189
-98.17102115,16.55257672,1,150,173,1716,111,21
-93.01268755,17.36924342,1,112,146,3579,43,677
-92.77102087,15.65257667,1,134,74,1407,90,21
-91.81268749,16.47757671,1,127,70,1543,57,165
-98.55435451,20.88591027,1,139,83,1751,71,140
-99.16268787,17.43591009,1,144,132,1189,104,35
-99.21268787,18.8692435,1,153,119,955,102,35
-96.10435438,19.09424351,1,82,178,1639,101,68
-99.74602124,24.78591048,1,142,73,803,70,61
-100.0626879,21.29424363,1,164,68,561,85,33
-91.77102082,16.10257669,1,136,104,1883,69,200
-104.4626881,19.12757685,1,115,169,975,113,34
-99.42102122,20.6942436,1,162,54,518,74,37
-103.7710214,19.23591019,1,141,150,922,108,48
-96.12102105,18.02757679,1,99,166,2621,88,168
-93.11268756,16.83591006,1,131,123,1210,92,44
-91.67102081,16.07757669,1,133,102,2276,65,276
-92.0376875,16.08591002,1,141,103,1069,86,42
-92.12102084,15.11090997,1,124,59,2178,81,53
-93.72935426,16.33591004,1,126,129,1117,101,25
-97.87102114,20.75257693,1,111,130,1438,63,134
-99.42102122,21.17757696,1,151,90,914,89,46
-99.54602123,21.18591029,1,156,81,741,87,34
-99.82935457,18.1275768,1,137,135,978,108,24
-97.94602114,19.83591022,1,150,27,765,76,63
-104.3293548,19.02757684,1,110,177,985,113,29
-96.30435439,17.76091011,1,106,153,3898,76,317
-93.65435425,16.08591002,1,130,152,1687,100,34
-92.89602088,17.12757675,1,121,102,2083,52,293
-92.0126875,16.10257669,1,140,97,1070,83,50
-99.95435458,16.9192434,1,111,207,1135,111,18
-104.9710215,21.94424366,1,128,132,1770,129,69
-98.82102119,18.66091016,1,171,116,852,103,26
-97.47935445,20.04424356,1,110,114,3083,61,364
-98.97935453,22.06924367,1,115,118,1380,81,90
-99.47935455,21.2859103,1,146,97,941,92,55
-103.6293548,19.29424353,1,139,139,1117,112,40
-99.31268788,21.927577,1,123,107,1541,86,95
-92.92935421,17.56924344,1,115,174,3557,44,736
-102.0543547,19.13591018,1,158,156,835,111,20
-98.77102118,20.59424359,1,152,54,525,80,31
-104.3710215,19.21091019,1,125,157,1014,115,35
-89.37102069,18.80257683,1,119,149,1107,59,127
-99.58768789,23.30257707,1,149,57,573,73,41
-103.6460214,19.31091019,1,139,136,1106,112,40
-93.66268758,15.99424335,1,126,181,1793,100,34
-96.96268776,18.91924351,1,115,113,2016,77,154
-97.48768778,19.89424356,1,112,67,1984,71,180
-99.01268786,21.74424365,1,121,129,1540,78,108
-99.22102121,22.52757703,1,116,111,1117,82,71
-99.23768788,18.91924351,1,146,110,1030,104,32
-105.2710215,21.52757697,1,113,149,1579,127,38
-99.0460212,16.79424339,1,145,195,1353,113,22
-100.3043546,18.43591015,1,147,158,1145,114,26
-99.15435454,23.11091039,1,128,115,1215,81,66
-99.12935454,23.03591039,1,125,121,1299,83,65
-96.12935438,17.89424345,1,100,157,3403,80,273
-92.22935418,15.15257664,1,128,99,2655,78,76
-97.02102109,17.95257679,1,139,134,579,96,17
-96.97935442,19.13591018,1,110,99,1985,76,143
-92.47102086,15.93591002,1,145,135,1588,95,50
-99.70435457,18.23591014,1,147,140,1011,107,25
-99.87935458,16.8692434,1,113,202,1221,111,21
-95.66268769,18.61091016,1,88,194,1732,75,182
-94.22102095,16.3525767,1,120,182,1566,106,10
-93.09602089,16.82757673,1,132,123,1226,92,42
-96.77935441,19.32757686,1,115,128,1162,84,77
-93.70435425,16.23591003,1,127,120,1275,100,22
-99.81268791,20.68591026,1,165,46,525,81,34
-99.92102124,18.43591015,1,129,121,1220,106,34
-92.90435421,16.68591006,1,140,135,1094,103,17
-99.86268791,17.81924345,1,130,127,942,107,28
-96.72102108,17.06091008,1,159,82,670,94,14
-91.94602083,17.47757676,1,110,175,2445,55,456
-88.58768732,18.51924348,1,100,175,1390,59,168
-92.89602088,16.70257672,1,138,126,1252,100,25
-88.03768729,19.58591021,1,117,169,1287,54,164
-98.52102117,23.24424373,1,118,95,933,78,71
-104.0960215,22.66091037,1,158,78,497,103,50
-102.5460214,18.03591013,1,122,174,1069,111,25
-92.1126875,17.25257675,1,116,170,2508,55,346
-99.30435455,21.96924366,1,121,111,1690,87,93
-99.83768791,18.33591014,1,130,128,1125,106,28
-93.02935422,17.33591009,1,113,138,3200,43,593
-99.65435456,17.5359101,1,108,104,1553,102,40
-99.64602123,17.5609101,1,113,108,1459,102,35
-104.1210215,21.02757695,1,165,87,833,116,38
-92.96268755,16.03591002,1,145,129,1859,96,49
-102.0043547,17.99424346,1,127,180,1014,109,28
-99.65435456,18.80257683,1,138,102,1172,99,41
-92.89602088,17.16924341,1,119,92,2130,50,313
-89.68768738,17.91091012,1,101,163,1235,54,154
-89.20435402,20.86091027,1,126,165,1041,69,100
-98.49602117,21.07757695,1,132,112,1662,61,179
-99.48768789,23.19424373,1,145,55,706,77,49
-102.212688,19.91091022,1,169,40,957,100,38
-99.22935454,18.77757683,1,164,120,879,103,29
-92.92102088,17.5359101,1,114,170,3808,43,793
-99.47102122,17.36091009,1,138,136,1262,109,22
-103.7626881,19.07757685,1,136,152,835,107,34
-96.44602106,19.31924353,1,107,161,1170,104,48
-105.2876882,21.53591031,1,113,149,1612,128,37
-106.5710216,24.40257712,1,135,112,1154,108,103
-93.10435422,16.95257674,1,126,148,1044,89,61
-96.92102109,17.64424344,1,143,113,588,94,23
-95.296021,16.37757671,1,113,188,826,115,8
-88.58768732,18.51091015,1,99,175,1388,59,168
-89.55435404,18.63591016,1,119,148,1113,60,129
-98.84602119,17.40257676,1,141,91,1468,105,31
-93.04602089,16.18591003,1,145,129,1658,98,50
-105.1793549,21.56924364,1,117,142,1563,127,39
-92.97935422,15.28590998,1,140,184,2565,94,69
-104.0960215,19.12757685,1,132,137,1189,114,46
-98.97935453,21.20257696,1,138,102,1780,76,139
-100.7960213,21.00257695,1,160,63,531,89,30
-99.50435456,22.002577,1,139,86,860,91,46
-92.17102084,15.40257666,1,134,112,1970,79,74
-103.6043548,18.91091017,1,132,155,846,108,27
-93.42102091,16.81091006,1,121,141,892,89,44
-88.17102063,21.56924364,1,113,165,644,53,107
-98.65435451,20.6442436,1,129,41,1402,79,145
-99.34602121,20.57757693,1,168,56,431,73,35
-97.25435444,19.98591023,1,111,119,2589,51,348
-106.6293549,24.40257712,1,140,114,1071,109,96
-100.3293546,17.25257675,1,123,172,1637,107,36
-92.47102086,16.86091006,1,126,93,1819,66,160
-93.66268758,16.11924336,1,130,152,1649,101,34
-105.2710215,21.01924362,1,121,151,1320,121,41
-94.09602094,16.45257671,1,118,146,1413,99,38
-99.21268787,18.76091016,1,165,120,872,102,28
-104.0793548,20.76091027,1,160,71,951,111,39
-100.4543546,18.86091017,1,138,102,1416,106,54
-103.6543548,19.24424352,1,140,145,1040,112,42
-99.35435455,23.99424377,1,141,80,804,73,58
-93.15435423,16.75257673,1,134,139,938,104,21
-97.1460211,18.18591013,1,152,120,415,94,12
-99.1460212,23.07757706,1,126,117,1209,81,66
-102.7710214,20.30257691,1,151,76,868,110,37
-93.00435422,17.34424342,1,112,139,3265,43,603
-93.40435424,16.9442434,1,120,150,1090,75,96
-98.83768785,18.2525768,1,170,115,822,106,16
-106.4210216,24.91924382,1,145,88,1138,101,136
-93.10435422,16.8942434,1,129,141,1011,95,41
-96.79602108,19.31924353,1,114,125,1249,84,84
-92.74602087,16.01924335,1,145,122,1827,96,46
-91.72935415,16.07757669,1,135,103,2053,68,229
-92.74602087,15.05257664,1,138,187,2606,91,85
-99.35435455,21.81924366,1,128,103,1216,88,79
-96.83768775,18.90257684,1,119,130,1999,78,140
-104.3293548,19.81924355,1,147,110,917,101,54
-98.77935452,20.59424359,1,152,54,519,80,31
-104.2210215,21.16091029,1,167,109,932,117,41
-97.25435444,19.93591023,1,107,109,3111,57,381
-98.88768786,21.952577,1,115,127,1309,78,101
-93.01268755,16.8442434,1,132,116,1369,89,55
-96.83768775,17.02757674,1,158,74,762,93,20
-99.90435458,22.76091037,1,149,80,521,73,40
-97.79602113,20.45257692,1,114,123,2188,72,173
-105.2710215,19.93591023,1,135,157,821,108,32
-88.15435396,21.18591029,1,123,159,1145,63,125
-99.23768788,18.76091016,1,165,120,877,103,28
-90.92935411,16.11924336,1,111,177,2973,68,308
-99.16268787,17.66924344,1,145,106,1071,101,29
-92.32935418,16.02757669,1,145,139,1216,93,41
-98.74602118,20.61091026,1,145,48,780,77,68
-91.36268747,16.38591004,1,120,169,2414,75,196
-92.89602088,17.06924341,1,122,98,1931,56,242
-98.63768784,20.61924359,1,132,42,1286,78,132
-99.74602124,21.03591028,1,168,76,489,80,28
-89.72935405,19.44424353,1,128,156,1092,66,117
-105.0043548,19.52757687,1,131,155,910,111,31
-99.1460212,22.09424367,1,117,115,1451,84,80
-102.6543547,21.86091033,1,183,40,608,100,37
-92.52102086,15.44424332,1,135,112,2219,84,67
-105.5293549,23.03591039,1,118,126,1312,106,106
-96.36268773,16.9192434,1,132,74,727,89,36
-100.0543546,22.12757701,1,152,88,453,74,34
-98.9710212,21.16924362,1,140,99,1705,76,133
-97.53768779,16.11091003,1,151,164,1399,108,21
-99.60435456,17.81924345,1,142,140,727,98,33
-98.57935451,21.03591028,1,136,89,1925,66,179
-93.77935426,16.26924337,1,126,150,1535,100,36
-99.36268788,23.96091044,1,142,73,754,74,57
-88.88768734,19.94424356,1,131,163,1135,69,90
-93.14602089,16.79424339,1,132,135,1010,100,25
-91.70435415,16.11924336,1,134,104,2163,66,263
-96.99602109,19.41924353,1,104,101,1879,70,167
-103.5626881,20.46091025,1,157,68,828,108,33
-95.31268767,16.8692434,1,115,132,1580,87,107
-99.20435454,23.77757709,1,137,90,775,72,62
-92.88768754,15.44424332,1,143,177,2672,94,79
-96.97935442,19.39424353,1,105,106,1887,71,164
-92.68768753,15.34424332,1,146,178,3224,90,117
-89.55435404,21.02757695,1,101,178,915,68,96
-96.5793544,16.29424337,1,143,85,668,98,14
-99.13768787,23.72757709,1,135,103,880,71,66
-99.17935454,18.73591016,1,168,118,858,102,27
-88.20435397,20.68591026,1,127,157,1157,65,92
-91.97935416,16.33591004,1,137,96,1271,74,91
-103.3376881,20.28591024,1,149,66,763,106,32
-96.76268775,18.7442435,1,119,143,2245,78,166
-99.03768787,22.6442437,1,116,120,1175,87,62
-88.04602063,19.59424354,1,117,169,1284,54,163
-89.69602071,21.06091028,1,91,182,795,69,83
-107.9126883,27.20257727,1,176,57,857,95,122
-96.77102108,18.83591017,1,120,139,1941,78,137
-96.37935439,19.54424354,1,97,169,1135,100,52
-99.35435455,22.51924369,1,117,109,1328,85,72
-92.04602083,17.4859101,1,110,175,2635,52,458
-99.87935458,21.61924365,1,148,87,641,93,40
-103.9126881,19.58591021,1,152,120,730,97,49
-104.6876882,20.16091024,1,133,53,1332,102,78
-99.87935458,18.47757682,1,131,124,1215,106,32
-94.16268761,16.34424337,1,120,183,1613,104,14
-93.03768755,16.85257673,1,131,116,1349,88,59
-105.2793549,21.53591031,1,113,149,1600,128,37
-102.6793547,20.96091028,1,176,40,796,112,32
-97.87935447,17.95257679,1,173,63,726,99,18
-98.3543545,23.43591041,1,119,100,900,73,86
-98.52935451,21.78591032,1,111,136,1063,74,112
-99.93768791,21.98591033,1,143,91,473,80,39
-93.06268755,17.39424343,1,111,151,3988,42,777
-103.6543548,21.977577,1,166,47,732,111,45
-94.77935431,17.71924344,1,101,173,2181,71,250
-99.15435454,23.04424372,1,126,110,1181,82,65
-97.39602111,18.51924348,1,152,61,518,88,20
-92.07102084,17.47757676,1,110,172,2680,52,420
-89.62935404,20.96091028,1,102,177,973,70,95
-107.7126883,26.98591059,1,175,49,805,95,120
-96.12102105,17.71924344,1,106,151,3605,77,299
-104.6460215,21.71091032,1,140,133,1121,117,61
-92.67102087,16.76091006,1,128,49,1197,75,71
-87.04602057,20.96091028,1,101,176,1136,51,175
-102.1210214,17.96091012,1,121,181,1066,108,29
-92.00435417,16.88591007,1,127,144,1914,66,165
-95.04602099,16.9692434,1,104,170,1899,87,135
-97.36268778,15.97757669,1,148,175,1238,109,16
-103.7543548,20.83591027,1,167,79,1020,115,38
-89.64602071,21.10257695,1,89,183,754,67,83
-96.40435439,18.23591014,1,101,166,2693,90,153
-99.47102122,22.54424369,1,133,86,1422,88,75
-102.3210214,19.93591023,1,167,51,911,97,43
-96.90435442,17.66091011,1,141,113,646,93,27
-104.7126882,19.82757689,1,149,124,1603,112,62
-103.9043548,18.87757684,1,129,161,769,105,24
-99.49602122,20.89424361,1,158,57,740,78,47
-103.7543548,21.82757699,1,178,81,670,113,35
-99.0960212,23.2609104,1,131,107,826,71,64
-102.3043547,19.92757689,1,167,50,918,98,41
-98.74602118,21.08591029,1,138,105,1796,66,166
-96.21268772,17.86091012,1,101,154,3815,78,316
-99.72935457,21.03591028,1,168,75,494,81,29
-91.53768747,17.98591012,1,109,179,1914,61,241
-103.9376881,19.31091019,1,142,137,1110,113,52
-104.4793548,19.64424354,1,146,143,1549,112,60
-95.06268766,18.48591015,1,90,159,2910,66,401
-96.66268774,17.16091008,1,136,44,1147,85,67
-96.72935441,19.32757686,1,116,134,1021,86,67
-98.9710212,21.79424366,1,119,129,1454,77,105
-88.1876873,19.12757685,1,101,179,1346,50,204
-98.72935452,21.99424367,1,112,137,1011,78,89
-93.12102089,16.8692434,1,130,127,1177,90,50
-92.32102085,16.02757669,1,144,139,1205,93,41
-96.94602109,19.57757687,1,98,92,1687,68,166
-100.1710213,21.76924365,1,163,71,728,88,41
-99.93768791,17.03591007,1,125,185,1414,112,24
-93.54602091,16.00257669,1,131,120,1552,99,26
-93.87102093,16.54424338,1,121,150,1087,100,27
-92.0376875,17.4859101,1,110,174,2615,52,470
-94.94602099,18.50257682,1,90,173,3427,62,545
-103.0460214,20.42757692,1,160,60,806,110,32
-98.9710212,21.69424365,1,121,130,1592,77,119
-92.95435421,17.54424343,1,115,171,3825,44,804
-97.35435444,19.82757689,1,114,63,1764,71,200
-96.92102109,17.83591012,1,139,94,978,89,72
-93.3710209,16.99424341,1,120,155,1272,67,145
-89.91268739,20.56091026,1,120,170,1080,74,84
-96.67102108,17.17757675,1,135,41,1211,85,73
-100.4626879,19.56091021,1,151,64,862,93,45
-102.9293547,21.4359103,1,162,29,693,104,46
-99.17935454,21.29424363,1,141,63,1387,82,100
-99.20435454,23.69424375,1,137,85,673,71,57
-99.59602123,18.73591016,1,138,117,1160,102,37
-98.94602119,18.91091017,1,166,109,921,104,18
-91.72935415,16.08591002,1,135,103,2057,67,232
-103.6960214,19.24424352,1,140,147,990,112,44
-92.88768754,15.54424333,1,142,158,2785,92,86
-99.40435455,22.84424371,1,124,108,1428,92,64
-95.271021,16.34424337,1,110,196,848,115,9
-99.47102122,21.24424363,1,147,97,937,92,51
-99.7876879,24.10257711,1,154,51,568,70,49
-93.45435424,16.87757673,1,119,138,949,80,67
-96.37102106,17.62757677,1,118,104,2515,76,248
-105.0793548,19.51924354,1,128,162,744,109,28
-100.1293546,18.80257683,1,151,116,1461,106,42
-105.9460216,23.39424374,1,116,135,1200,106,109
-99.37102122,18.82757683,1,151,119,979,104,34
-99.19602121,23.09424372,1,133,78,969,81,61
-98.63768784,20.46091025,1,147,48,663,75,56
-92.7543542,15.66091,1,136,87,1597,90,30
-99.7626879,23.9525771,1,154,38,703,71,59
-95.07935433,18.45257681,1,91,157,2748,67,356
-105.9376882,23.38591041,1,116,135,1194,107,107
-108.379355,27.06924393,1,173,54,856,105,109
-96.46268773,16.88591007,1,135,74,675,91,23
-98.77935452,20.72757693,1,129,39,1288,80,120
-96.49602107,15.92757668,1,145,141,1563,97,52
-89.72935405,19.45257687,1,128,156,1091,66,117
-91.92102083,17.42757676,1,112,169,2523,53,377
-92.94602088,17.5859101,1,115,175,3502,45,719
-96.83768775,18.96924351,1,111,114,2137,77,164
-92.0376875,17.47757676,1,111,173,2621,52,460
-95.12935433,18.57757682,1,87,149,2903,64,408
-92.88768754,17.11091008,1,121,97,2050,53,281
-99.89602124,16.8692434,1,112,201,1267,111,20
-97.11268776,18.08591013,1,148,124,439,95,12
-92.02935417,17.4859101,1,111,174,2595,52,481
-87.69602061,21.47757697,1,113,164,788,51,126
-92.64602087,16.34424337,1,147,132,1242,99,21
-101.0793546,17.36091009,1,117,203,935,114,22
-90.52935409,19.69424355,1,104,175,1240,82,92
-99.21268787,23.69424375,1,137,82,661,71,56
-95.04602099,16.98591007,1,104,171,1993,86,146
-98.92935453,22.06091034,1,115,115,1445,80,103
-106.6710216,23.91924377,1,143,121,725,112,68
-99.80435457,16.82757673,1,112,210,1116,111,19
-105.0460215,19.49424354,1,128,160,792,110,29
-99.05435453,21.62757698,1,125,113,2115,77,165
-93.71268759,16.21924336,1,127,123,1313,99,24
-103.5376881,18.45257681,1,122,163,1016,111,24
-101.4460213,17.67757677,1,127,173,1280,110,34
-93.41268757,16.77757673,1,123,144,875,93,34
-89.37102069,18.7942435,1,119,149,1108,59,127
-92.69602087,15.81924334,1,142,134,2322,95,74
-103.8126881,19.14424352,1,138,150,879,109,43
-92.44602085,16.9192434,1,128,121,1892,71,144
-103.2376881,19.78591022,1,151,65,897,99,50
-103.1543547,18.77757683,1,126,124,1272,97,52
-88.17935397,21.01924362,1,126,158,1141,66,111
-95.39602101,16.09424336,1,115,194,578,115,3
-92.04602083,16.09424336,1,140,100,1040,86,41
-99.33768788,18.30257681,1,161,133,1088,107,24
-98.91268786,21.4609103,1,127,124,2060,74,154
-103.7126881,20.6692436,1,164,75,996,109,46
-91.94602083,16.92757673,1,126,131,2055,63,202
-105.0543548,19.49424354,1,128,161,777,109,29
-99.60435456,20.55257692,1,175,54,469,79,32
-103.0126881,21.51924364,1,188,50,690,110,36
-99.02935453,22.5942437,1,116,115,1217,87,63
-99.75435457,21.78591032,1,142,91,618,90,35
-100.2043546,22.91091038,1,160,69,375,63,40
-98.9710212,21.73591032,1,121,129,1532,77,114
-104.3543548,19.17757685,1,120,166,955,114,33
-100.6293546,17.24424342,1,118,204,1148,113,23
-105.7710215,22.97757705,1,110,137,1119,105,94
-99.92935458,21.79424366,1,144,89,584,87,41
-99.74602124,21.10257695,1,164,66,548,77,31
